28,菜寮站,新北市三重區重新路三段157號,(02)29843153,TRUE,TRUE,TRUE,FALSE,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,00:00-24:00
29,福林站 ,台北市士林區中山北路五段465號,(02)28812420,TRUE,TRUE,TRUE,TRUE,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,00:00-24:00
30,中央北路站,台北市北投區中央北路四段584號,(02)28913744,TRUE,TRUE,TRUE,FALSE,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,00:00-24:00
31,寶橋站,新北市新店區寶橋路219號,(02)29111965,TRUE,TRUE,TRUE,FALSE,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,00:00-24:00
32,龍安站,台北市大安區和平東路二段2號,(02)23631735,TRUE,TRUE,TRUE,FALSE,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,00:00-24:00
33,百齡四路加油加氣站,台北市北投區承德路六段427號,(02)28201427,TRUE,TRUE,TRUE,FALSE,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,00:00-24:00
34,忠孝東路站,台北市信義區忠孝東路五段69號,(02)27622418,TRUE,TRUE,TRUE,FALSE,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,00:00-24:00
35,坪林站,新北市坪林區北宜路八段61號,(02)26656081,TRUE,TRUE,TRUE,FALSE,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,07:00-21:00
36,內湖站,台北市內湖區民權東路六段50號,(02)27920678,TRUE,TRUE,TRUE,FALSE,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,00:00-24:00
37,八里站,新北市八里區中山路一段1號,(02)26104191,TRUE,TRUE,TRUE,FALSE,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,00:00-24:00
38,西湖,台北市內湖區內湖路一段59號,(02)27992147,TRUE,TRUE,TRUE,FALSE,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,07:00-23:00
39,新莊站,新北市新莊區中正路338號,(02)29965736,TRUE,TRUE,TRUE,FALSE,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,00:00-24:00
40,木柵站,台北市文山區木柵路三段2號,(02)29392990,TRUE,TRUE,TRUE,FALSE,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,00:00-24:00
41,萬隆站,台北市文山區興隆路一段13號,(02)29312829,TRUE,TRUE,TRUE,FALSE,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,00:00-24:00
42,中和站,新北市中和區中和路260號,(02)22493364,TRUE,TRUE,TRUE,FALSE,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,00:00-24:00
43,淡水站,新北市淡水區中正東路1號,(02)26212343,TRUE,TRUE,TRUE,FALSE,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,00:00-24:00
44,金山南路站,台北市大安區金山南路二段77號,(02)23518346,TRUE,TRUE,TRUE,FALSE,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,07:00-24:00
45,陽明山站,台北市士林區陽明山格致路3號,(02)28616052,TRUE,TRUE,TRUE,FALSE,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,00:00-24:00
46,復興北路站,台北市松山區復興北路31號,(02)27112342,TRUE,TRUE,TRUE,FALSE,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,07:00-23:00
47,泰山站,新北市泰山區泰林路二段424號,(02)29097921,TRUE,TRUE,TRUE,FALSE,0,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,07:00-22:00
48,新生南路站,台北市大安區仁愛路三段1號,(02)27112316,TRUE,TRUE,TRUE,FALSE,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,07:00-22:00
49,屈尺站,新北市新店區新烏路2段202號,(02)26668137,TRUE,TRUE,TRUE,FALSE,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,07:00-22:00
50,林口站,新北市林口區中山路１號,(02)26015017,TRUE,TRUE,TRUE,FALSE,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,00:00-24:00
51,板橋民族路站,新北市板橋區民族路90號,(02)29536247,TRUE,TRUE,TRUE,FALSE,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,00:00-24:00
52,南港站,台北市南港區南港路二段50號,(02)27822408,TRUE,TRUE,TRUE,TRUE,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,00:00-24:00
53,蘆洲站,新北市蘆洲區三民路99號,(02)22812333,TRUE,TRUE,TRUE,FALSE,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,00:00-24:00
54,環河南路站,台北市萬華區環河南路二段274之2及177之1(柴油營業7至22時),(02)23040528,TRUE,TRUE,FALSE,FALSE,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,00:00-24:00
55,三峽站,新北市三峽區介壽路一段193號,(02)26711123,TRUE,TRUE,TRUE,FALSE,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,00:00-24:00
56,鶯歌站,新北市鶯歌區文化路152號,(02)26792944,TRUE,TRUE,TRUE,FALSE,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,00:00-24:00
57,新店北新路站,新北市新店區北新路一段90號,(02)29180305,TRUE,TRUE,TRUE,FALSE,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,00:00-24:00
58,莒光路站,台北市中正區莒光路2號,(02)23028385,TRUE,TRUE,TRUE,FALSE,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,00:00-24:00
